Penalty Year,Agency Short,Action Type,Agency,Level of Government,Penalty Amount Adjusted For Eliminating Multiple Counting,Parent Short,Case ID,Civil/Criminal,Company,Court,Current Parent Company,Current Parent HQ Country,Current Parent HQ State,Current Parent ISIN,Current Parent Major Industry,Current Parent Ownership Structure,Current Parent Specific Industry,Current Parent Stock Ticker,Description,Facility Address,Facility City,Facility County,Facility Name,Facility State,Facility Zip,Info Source,Lawsuit Resolution,NAICS Code,NAICS Translation,Notes,Offense Group,Original System ID,PACER Link,Parent at the Time of the Penalty Announcement,Penalty Amount,Penalty Amount Adjusted For Eliminating Multiple Counting (Primary Offense),Penalty Date,Primary Offense,Private Litigation Case Title,Prosecution Agreement,Recap of Ownership Changes,Secondary Offense,Subtraction From Penalty Amount to Avoid Double Counting
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,50000000,JPMC,,civil,Banc One Investment Advisors Corporation,,JPMorgan Chase,USA,New York,US46625H1005,financial services,publicly traded,banking & securities,NYSE: JPM,market-timing,,,,,,,https://www.sec.gov/news/press/2004-90.htm,,,,,financial offenses,,,Bank One,50000000,80991516314,6/29/2004,investor protection violation,,,JPMorgan acquired Bank One later in 2004,securities issuance or trading violation,0
2004,Other Federal,agency action,Labor Department Wage and Hour Division,federal,17363,Popular Inc.,1366933,civil,"Banco Popular North America, Inc.",,Popular Inc.,USA,Puerto Rico,PR7331747001,financial services,publicly traded,banking,BPOP,,,Orlando,,,Florida,32819,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,521110,521110: Monetary Authorities - Central Bank,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",employment-related offenses,1366933,,Popular Inc.,17363,2104313918,3/6/2004,wage and hour violation,,,,Fair Labor Standards Act,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,13573,BofA,,civil,Bank of America,,Bank of America,USA,North Carolina,US0605051046,financial services,publicly traded,banking,NYSE: BAC,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02062004.pdf,,,,,financial offenses,,,Bank of America,13573,19279605947,2/4/2004,economic sanction violation,,,,,0
2004,Other Federal,agency action,Labor Department Wage and Hour Division,federal,5972,BofA,1360559,civil,Bank of America Corporation,,Bank of America,USA,North Carolina,US0605051046,financial services,publicly traded,banking,NYSE: BAC,,,Wichita,,,Kansas,67205,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,5223,5223: Activities Related to Credit Intermediation,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",employment-related offenses,1360559,,Bank of America,5972,2104313918,8/1/2004,wage and hour violation,,,,Fair Labor Standards Act,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,10000,Bank of China,,civil,Bank of China,,Bank of China,China,,CNE000001N05,financial services,publicly traded,banking,,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/01022004.pdf,,,,,financial offenses,,,Bank of China,10000,19279605947,1/2/2004,economic sanction violation,,,,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,137500,BNYM,,civil,Bank of New York,,Bank of New York Mellon,USA,New York,US0640581007,financial services,publicly traded,banking,BK,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/04022004.pdf,,,,,financial offenses,,,Bank of New York,137500,19279605947,4/2/2004,economic sanction violation,,,In 2007 Bank of New York merged with Mellon Financial Corp. to form Bank of New York Mellon,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,34623,BNYM,,civil,Bank of New York,,Bank of New York Mellon,USA,New York,US0640581007,financial services,publicly traded,banking,BK,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02062004.pdf,,,,,financial offenses,,,Bank of New York,34623,19279605947,2/4/2004,economic sanction violation,,,In 2007 Bank of New York merged with Mellon Financial Corp. to form Bank of New York Mellon,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,27500,BNYM,,civil,Bank of New York,,Bank of New York Mellon,USA,New York,US0640581007,financial services,publicly traded,banking,BK,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02062004.pdf,,,,,financial offenses,,,Bank of New York,27500,19279605947,2/4/2004,economic sanction violation,,,In 2007 Bank of New York merged with Mellon Financial Corp. to form Bank of New York Mellon,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,5500,BNYM,,civil,Bank of New York,,Bank of New York Mellon,USA,New York,US0640581007,financial services,publicly traded,banking,BK,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02062004.pdf,,,,,financial offenses,,,Bank of New York,5500,19279605947,2/4/2004,economic sanction violation,,,In 2007 Bank of New York merged with Mellon Financial Corp. to form Bank of New York Mellon,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,6682,JPMC,,civil,Bank One,,JPMorgan Chase,USA,New York,US46625H1005,financial services,publicly traded,banking & securities,NYSE: JPM,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02062004.pdf,,,,,financial offenses,,,Bank One,6682,19279605947,2/4/2004,economic sanction violation,,,JPMorgan acquired Bank One later in 2004,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,5500,JPMC,,civil,Bank One,,JPMorgan Chase,USA,New York,US46625H1005,financial services,publicly traded,banking & securities,NYSE: JPM,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/08062004.pdf,,,,,financial offenses,,,JPMorgan Chase,5500,19279605947,8/6/2004,economic sanction violation,,,,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,14970,Barclays,,civil,Barclays Bank PLC,,Barclays,United Kingdom,,GB0031348658,financial services,publicly traded,banking,LSE: BARC,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02062004.pdf,,,,,financial offenses,,,Barclays,14970,19279605947,2/4/2004,economic sanction violation,,,,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,7250,PacWest Bancorp,,civil,California United Bank,,PacWest Bancorp,USA,California,US6952631033,financial services,publicly traded,banking,PACW,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/09032004.pdf,,,,,financial offenses,,,CU Bancorp,7250,19279605947,9/3/2004,economic sanction violation,,,PacWest Bancorp bought CU Bancorp in 2017.,,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,350000,Schwab,,civil,"Charles Schwab & Co., Inc.",,Charles Schwab Corp.,USA,California,US8085131055,financial services,publicly traded,financial services,SCHW,"Charles Schwab & Co., Inc. agreed to pay $350,000 to settle allegations that it allowed investment adviser customers to change mutual fund orders after the 4:00 p.m. Eastern time market close, creating the risk that such customers could unfairly capitalize on late-breaking news at the expense of other mutual fund investors.",,,,,,,https://www.sec.gov/news/press/2004-128.htm,,,,,financial offenses,,,Charles Schwab Corp.,350000,80991516314,9/14/2004,investor protection violation,,,,securities issuance or trading violation,0
2004,Other Federal,agency action,National Labor Relations Board,federal,39200,Macquarie,09-CA-39796-001,civil,CINCINNATI BELL,,Macquarie,Australia,,AU000000MQG1,financial services,publicly traded,financial services,MIC,back pay award in unfair labor practices case,,Cincinnati,,,Ohio,45202,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,,517110,517110: Wired Telecommunications Carriers,,employment-related offenses,,,Cincinnati Bell,39200,1234941,3/18/2004,labor relations violation,,,Macquarie bought Cincinnati Bell in 2021,,0
2004,CFTC,agency action,Commodity Futures Trading Commission,federal,3000000,BNP,,civil,"Cinergy Marketing & Trading, LP",,BNP Paribas,France,,FR0000131104,financial services,publicly traded,banking,,"The U.S. Commodity Futures Trading Commission announced the issuance of an administrative order filing and simultaneously settling allegations against Cinergy Marketing & Trading, LP, as successor in interest to Cinergy Marketing & Trading, LLC. Cinergy agreed to pay a $3 million civil monetary penalty to settle charges of false reporting of trade information concerning natural gas transactions.",,,,,,,http://www.cftc.gov/opa/enf04/opa5020-04.htm,,,,,miscellaneous offenses,,,Cinergy Corp.,3000000,213085000,11/16/2004,data submission deficiencies,,,After Duke Energy acquired Cinergy in 2006 it sold Cinergy Marketing to Fortis. It was acquired by BNP Paribas in 2010.,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,5500,Citi,,civil,Citibank,,Citigroup,USA,New York,US1729674242,financial services,publicly traded,banking & securities,NYSE: C,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/08062004.pdf,,,,,financial offenses,,,Citigroup,5500,19279605947,8/6/2004,economic sanction violation,,,,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,7379,Citi,,civil,Citicorp Vendor Finance Ltd,,Citigroup,USA,New York,US1729674242,financial services,publicly traded,banking & securities,NYSE: C,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/07022004.pdf,,,,,financial offenses,,,Citigroup,7379,19279605947,7/2/2004,economic sanction violation,,,,,0
2004,Fed,agency action,Federal Reserve,federal,70000000,Citi,,civil,Citigroup Inc.,,Citigroup,USA,New York,US1729674242,financial services,publicly traded,banking & securities,NYSE: C,,,New York,,,New York,,https://www.federalreserve.gov/boarddocs/press/enforcement/2004/20040527/default.htm,,,,,financial offenses,,,Citigroup,70000000,21150215267,5/27/2004,banking violation,,,,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,5500,Commerzbank,,civil,Commerzbank AG,,Commerzbank,Germany,,DE000CBK1001,financial services,publicly traded,banking,,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02062004.pdf,,,,,financial offenses,,,Commerzbank,5500,19279605947,2/4/2004,economic sanction violation,,,,,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,15000000,CNO Financial,,civil,"Conseco, Inc.",,CNO Financial,USA,Indiana,US12621E1038,financial services,publicly traded,insurance,CNO,The SEC brought an enforcement action against insurance companies with securities fraud for facilitating market timing of mutual funds through the sale of variable annuities.,,,,,,,https://www.sec.gov/news/press/2004-109.htm,,,,,financial offenses,,,CNO Financial,15000000,80991516314,8/9/2004,investor protection violation,,,CNO Financial was known as Conseco Inc. until May 2010.,securities issuance or trading violation,0
2004,Other Federal,agency action,Labor Department Wage and Hour Division,federal,54453,BofA,1347216,civil,Countrywide Financial Corporation,,Bank of America,USA,North Carolina,US0605051046,financial services,publicly traded,banking,NYSE: BAC,,,Simi Valley,,,California,93065,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,522291,522291: Consumer Lending,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",employment-related offenses,1347216,,Countrywide Financial,54453,2104313918,6/6/2004,wage and hour violation,,,Bank of America acquired Countrywide in 2008,Fair Labor Standards Act,0
2004,Fed,agency action,Federal Reserve,federal,8000000,Credit Ag,,civil,Credit Agricole S.A.,,Credit Agricole,France,,FR0000045072,financial services,publicly traded,banking,,"The Order addresses deficiencies in the operational controls, risk management, and compliance with laws and regulations by the New York branch of Credit Agricole Indosuez. ",,,,,,,https://www.federalreserve.gov/boarddocs/press/enforcement/2004/20040310/default.htm,,,,,financial offenses,,,Credit Agricole,8000000,21150215267,3/10/2004,banking violation,,,,,0
2004,CFTC,agency action,Commodity Futures Trading Commission,federal,25000,Credit Ag,,civil,Credit Lyonnais Rouse Limited,,Credit Agricole,France,,FR0000045072,financial services,publicly traded,banking,,,,,,,,,http://www.cftc.gov/opa/enf04/opa5002-04.htm,,,,,financial offenses,,,Credit Agricole,25000,80991516314,10/4/2004,investor protection violation,,,,securities issuance or trading violation,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,5500,DB,,civil,Deutsche Bank,,Deutsche Bank,Germany,,DE0005140008,financial services,publicly traded,banking & securities,,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02062004.pdf,,,,,financial offenses,,,Deutsche Bank,5500,19279605947,2/4/2004,economic sanction violation,,,,,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,87500000,DB,,civil,Deutsche Bank Securities Inc.,,Deutsche Bank,Germany,,DE0005140008,financial services,publicly traded,banking & securities,,"The SEC, the North American Securities Administrators Association, NASD Inc., the New York Stock Exchange and state securities regulators announced that Deutsche Bank Securities Inc. would pay $87.5 million to settle allegations that its investment banking interests had undue influence on its securities research. ",,,,,,,https://www.sec.gov/news/press/2004-120.htm,,,,,financial offenses,,,Deutsche Bank,87500000,80991516314,8/26/2004,investor protection violation,,,,,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,75000000,Jones,,civil,"Edward D. Jones & Co., L.P.",,Jones Financial,USA,Missouri,,financial services,privately held,financial services,,"Edward D. Jones & Co., L.P., a registered broker-dealer headquartered in St. Louis, Missouri, agreed to pay $75 million to settle allegations that it failed to adequately disclose revenue sharing payments that it received from a select group of mutual fund families that Edward Jones recommended to its customers.",,,,,,,https://www.sec.gov/news/press/2004-177.htm,,,,,financial offenses,,,Jones Financial,75000000,80991516314,12/22/2004,investor protection violation,,,,,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,1000000,Fidelity Investments,,civil,"Fidelity Brokerage Services, LLC",,Fidelity Investments,USA,Massachusetts,,financial services,privately held,financial services,,The SEC ordered Fidelity to pay a $1 million penalty in connection with the improper alteration or destruction of documents in numerous Fidelity Brokerage branch offices.,,,,,,,https://www.sec.gov/news/press/2004-103.htm,,,,,financial offenses,,,Fidelity Investments,1000000,80991516314,8/3/2004,investor protection violation,,,,,0
2004,Other Federal,agency action,Labor Department Wage and Hour Division,federal,7945,Fidelity National Financial,1326979,civil,"Fidelity National Financial, Inc",,Fidelity National Financial,USA,Florida,US31620R3030,financial services,publicly traded,insurance,FNF,,,Phoenix,,,Arizona,85016,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,524127,524127: Direct Title Insurance Carriers,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",employment-related offenses,1326979,,Fidelity National Financial,7945,2104313918,4/30/2004,wage and hour violation,,,,Fair Labor Standards Act,0
2004,FDIC,agency action,Federal Deposit Insurance Corporation,federal,12000,First Bancorp (North Carolina),FDIC-04-269k,civil,FIRST BANK,,First Bancorp (North Carolina),USA,North Carolina,US3189101062,financial services,publicly traded,banking,FBNC,,,Troy,,,North Carolina,,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z66DAAS?operationContext=S1,,,,,financial offenses,,,First Bancorp (North Carolina),12000,21150215267,12/22/2004,banking violation,,,,,0
2004,Other Federal,agency action,Labor Department Wage and Hour Division,federal,9344,1st Horizon,1345293,civil,First Horizon National Corporation,,First Horizon National,USA,Tennessee,US3205171057,financial services,publicly traded,banking,FHN,,,Midvale,,,Utah,84107,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,53139,53139: Other Activities Related to Real Estate,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",employment-related offenses,1345293,,First Horizon National,9344,2104313918,10/28/2004,wage and hour violation,,,,Fair Labor Standards Act,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,18740,Wells,,civil,First Union Bank,,Wells Fargo,USA,California,US9497461015,financial services,publicly traded,banking,WFC,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/06042004.pdf,,,,,financial offenses,,,First Union,18740,19279605947,6/4/2004,economic sanction violation,,,"In 2001 First Union merged with Wachovia, which was acquired by Wells Fargo in 2008",,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,140000000,BofA,,civil,FleetBoston Financial Corporation,,Bank of America,USA,North Carolina,US0605051046,financial services,publicly traded,banking,NYSE: BAC,"The SEC reached an agreement regarding its market timing lawsuit against two subsidiaries of FleetBoston Financial Corporation - Columbia Management Advisors, Inc. and Columbia Funds Distributor, Inc. ",,,,,,,https://www.sec.gov/news/press/2004-34.htm,,,,,financial offenses,,,Bank of America,140000000,80991516314,3/15/2004,investor protection violation,,,,securities issuance or trading violation,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,50000000,Franklin,,civil,"Franklin Advisers, Inc.",,Franklin Resources,USA,California,US3546131018,financial services,publicly traded,financial services,BEN,"Franklin Advisers, Inc. agreed to pay $50 million and undergo compliance reforms to settle allegations that it allowed rapid in-and-out trading, known as market timing, in mutual funds it managed, contrary to fund prospectus language.",,,,,,,https://www.sec.gov/news/press/2004-102.htm,,,,,financial offenses,,,Franklin Resources,50000000,80991516314,8/2/2004,investor protection violation,,,,securities issuance or trading violation,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,20000000,Franklin,,civil,"Franklin Advisers, Inc. and Franklin Templeton Distributors, Inc.",,Franklin Resources,USA,California,US3546131018,financial services,publicly traded,financial services,BEN,"Franklin Advisers, Inc. and Franklin Templeton Distributors, Inc., the investment adviser and principal underwriter and distributor affiliated with the Franklin Templeton mutual funds, agreed to pay $20 million to settle allegations that, without proper disclosure, they used fund assets to compensate brokerage firms for recommending the Franklin Templeton mutual funds over others to their clients.",,,,,,,https://www.sec.gov/news/press/2004-168.htm,,,,,financial offenses,,,Franklin Resources,20000000,80991516314,12/13/2004,investor protection violation,,,,,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,125000,Arlington Asset Investment Corp.,,civil,"Friedman, Billings, Ramsey & Co., Inc.",,Arlington Asset Investment Corp.,USA,Virginia,US0413562051,financial services,publicly traded,investment management,AAIC,"The SEC announced settled enforcement actions against seven broker-dealers for failing to disclose they had received payments for providing research coverage of certain public companies, in violation of Section 17(b) of the Securities Act of 1933.",,,,,,,https://www.sec.gov/news/press/2004-117.htm,,,,,financial offenses,,,Arlington Asset Investment Corp.,125000,80991516314,8/25/2004,investor protection violation,,,"Friedman, Billings, Ramsey Group changed its name to Arlington Asset Investment Corp. in 2009",,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,7000,Hanmi Financial Corp.,,civil,Hanmi Bank,,Hanmi Financial Corp.,USA,California,US4104952043,financial services,publicly traded,banking,HAFC,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/09032004.pdf,,,,,financial offenses,,,Hanmi Financial Corp.,7000,19279605947,9/3/2004,economic sanction violation,,,,,0
2004,DoJ/US AG,agency action,Justice Department Civil Division,federal,1500000,Highmark Inc.,,civil,"Highmark, Inc.",,Highmark Inc.,USA,Pennsylvania,,financial services,non-profit,insurance,,"Highmark, Inc., an insurance company headquartered in Pittsburgh, agreed to pay the United States $1.5 million to settle False Claims Act allegations.",,,,,,,https://www.justice.gov/archive/opa/pr/2004/April/04_civ_254.htm,,,,,government-contracting-related offenses,,,Highmark Inc.,1500000,3820203463,4/21/2004,False Claims Act and related,,,,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,8375,HSBC,,civil,HSBC Bank USA,,HSBC,United Kingdom,,GB0005405286,financial services,publicly traded,banking,LSE: HSBA,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/05072004.pdf,,,,,financial offenses,,,HSBC,8375,19279605947,5/7/2004,economic sanction violation,,,,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,5500,HSBC,,civil,HSBC Bank USA,,HSBC,United Kingdom,,GB0005405286,financial services,publicly traded,banking,LSE: HSBA,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/08062004.pdf,,,,,financial offenses,,,HSBC,5500,19279605947,8/6/2004,economic sanction violation,,,,,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,325000000,Invesco,,civil,"Invesco Funds Group, Inc.",,Invesco,USA,Georgia,BMG491BT1088,financial services,publicly traded,investment management,NYSE: IVZ,"Invesco Funds Group, Inc., AIM Advisors, Inc., and AIM Distributors, Inc. agreed to pay a total of $375 million to settle allegations that they violated federal securities laws by facilitating widespread market timing trading in mutual funds with which each entity was affiliated.",,,,,,,https://www.sec.gov/news/press/2004-143.htm,,,,,financial offenses,,,Invesco,325000000,80991516314,10/8/2004,investor protection violation,,,,securities issuance or trading violation,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,875000,Penn Mutual,,civil,Janney Montgomery Scott LLC,,Penn Mutual,USA,Pennsylvania,,financial services,mutual,insurance and investment management,,"The SEC announced settled enforcement actions against seven broker-dealers for failing to disclose they had received payments for providing research coverage of certain public companies, in violation of Section 17(b) of the Securities Act of 1933.",,,,,,,https://www.sec.gov/news/press/2004-117.htm,,,,,financial offenses,,,Penn Mutual,875000,80991516314,8/25/2004,investor protection violation,,,,,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,100000000,Janus Henderson,,civil,Janus Capital Management LLC,,Janus Henderson,United Kingdom,,JE00BYPZJM29,financial services,publicly traded,investment management,NYSE: JHG,Janus Capital Management LLC agreed to pay $100 million to settle allegations that it entered into undisclosed market timing agreements with certain investors.,,,,,,,https://www.sec.gov/news/press/2004-111.htm,,,,,financial offenses,,,Janus Capital Group,100000000,80991516314,8/18/2004,investor protection violation,,,In 2017 Janus Capital merged with the Henderson Group to form Janus Henderson,securities issuance or trading violation,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,26980,JPMC,,civil,JP Morgan Chase,,JPMorgan Chase,USA,New York,US46625H1005,financial services,publicly traded,banking & securities,NYSE: JPM,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02062004.pdf,,,,,financial offenses,,,JPMorgan Chase,26980,19279605947,2/4/2004,economic sanction violation,,,,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,73281,JPMC,,civil,JP Morgan Chase & Co.,,JPMorgan Chase,USA,New York,US46625H1005,financial services,publicly traded,banking & securities,NYSE: JPM,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/01022004.pdf,,,,,financial offenses,,,JPMorgan Chase,73281,19279605947,1/2/2004,economic sanction violation,,,,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,17303,JPMC,,civil,JP Morgan Chase & Co.,,JPMorgan Chase,USA,New York,US46625H1005,financial services,publicly traded,banking & securities,NYSE: JPM,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/01022004.pdf,,,,,financial offenses,,,JPMorgan Chase,17303,19279605947,1/2/2004,economic sanction violation,,,,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,18094,JPMC,,civil,JP Morgan Chase Bank,,JPMorgan Chase,USA,New York,US46625H1005,financial services,publicly traded,banking & securities,NYSE: JPM,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/08062004.pdf,,,,,financial offenses,,,JPMorgan Chase,18094,19279605947,8/6/2004,economic sanction violation,,,,,0
2004,FINCEN/OFAC,agency action,Office of Foreign Assets Control,federal,9748,JPMC,,civil,JP Morgan Chase Bank,,JPMorgan Chase,USA,New York,US46625H1005,financial services,publicly traded,banking & securities,NYSE: JPM,,,,,,,,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/08062004.pdf,,,,,financial offenses,,,JPMorgan Chase,9748,19279605947,8/6/2004,economic sanction violation,,,,,0
2004,Other Federal,agency action,Labor Department Wage and Hour Division,federal,19373,JPMC,1335913,civil,JPMorgan Chase Bank,,JPMorgan Chase,USA,New York,US46625H1005,financial services,publicly traded,banking & securities,NYSE: JPM,,,Mcallen,,,Texas,78501,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,52111,52111: Monetary Authorities - Central Bank,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",employment-related offenses,1335913,,JPMorgan Chase,19373,2104313918,7/1/2004,wage and hour violation,,,,Fair Labor Standards Act,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,66500000,Virtu Financial,,civil,"Knight Securities, L.P.",,Virtu Financial,USA,New York,US9282541013,financial services,publicly traded,financial services,VIRT,"Knight Securities, L.P. agreed to pay $66.5 to settle SEC allegations that it defrauded its institutional customers by extracting excessive profits out of its customers' orders while failing to meet the firm's duty to provide best execution to the institutions that placed those orders.",,,,,,,https://www.sec.gov/news/press/2004-173.htm,,,,,financial offenses,,,Knight Capital Group,66500000,80991516314,12/16/2004,investor protection violation,,,Knight Capital Group and GETCO Holding merged to form KCG Holdings. Virtu acquired KCG Holdings in 2017.,,0
2004,SEC/FINRA,agency action,Securities and Exchange Commission,federal,2315467,Franklin,,civil,"Legg Mason Wood Walker, Inc.",,Franklin Resources,USA,California,US3546131018,financial services,publicly traded,financial services,BEN,The SEC announced enforcement and disciplinary actions against a total of 15 firms for failure to deliver mutual fund breakpoint discounts during 2001 and 2002.,,,,,,,https://www.sec.gov/news/press/2004-17.htm,,,,,financial offenses,,,Legg Mason,2315467,80991516314,2/12/2004,investor protection violation,,,Franklin Resources acquired Legg Mason in 2020.,securities issuance or trading violation,0
2004,DoJ/US AG,agency action,Justice Department Antitrust Division,federal,1000000,Manulife Financial,,civil,Manulife Financial Corporation,,Manulife Financial,Canada,,CA56501R1064,financial services,publicly traded,insurance,MFC,"Manulife Financial Corporation, a Canadian-based insurance and financial services company, agreed to pay a $1 million civil penalty to settle charges that the company violated antitrust premerger notification requirements when it acquired more than $50 million of John Hancock common stock in the spring of 2003.",,,,,,,https://www.justice.gov/archive/atr/public/press_releases/2004/203532.htm,,,,,financial offenses,,,Manulife Financial,1000000,80991516314,5/3/2004,investor protection violation,,,,premerger notification violation,0
